Year,SERIES,UNIT_MEASURE,SEX,COMPOSITE_BREAKDOWN,Value
2017,SE_ADT_ACTS,PT,,ARSP,9.166139999999999
2019,SE_ADT_ACTS,PT,,ARSP,7.52968
2017,SE_ADT_ACTS,PT,,SKILL_ICTCMFL,59.634319999999995
2019,SE_ADT_ACTS,PT,,SKILL_ICTCMFL,44.59803
2017,SE_ADT_ACTS,PT,,COPA,28.14609
2019,SE_ADT_ACTS,PT,,COPA,22.46445
2019,SE_ADT_ACTS,PT,,EMAIL,30.09595
2017,SE_ADT_ACTS,PT,,EPRS,12.45847
2019,SE_ADT_ACTS,PT,,EPRS,11.0905
2017,SE_ADT_ACTS,PT,,PCPR,2.08691
2019,SE_ADT_ACTS,PT,,PCPR,2.13639
2017,SE_ADT_ACTS,PT,,SKILL_ICTSFWR,22.29269
2017,SE_ADT_ACTS,PT,,SKILL_ICTTRFF,59.741719999999994
2019,SE_ADT_ACTS,PT,,SKILL_ICTTRFF,49.02722
2017,SE_ADT_ACTS,PT,F,ARSP,9.29936
2019,SE_ADT_ACTS,PT,F,ARSP,6.281569999999999
2017,SE_ADT_ACTS,PT,F,SKILL_ICTCMFL,57.951280000000004
2019,SE_ADT_ACTS,PT,F,SKILL_ICTCMFL,43.36247
2017,SE_ADT_ACTS,PT,F,COPA,25.87817
2019,SE_ADT_ACTS,PT,F,COPA,19.288829999999997
2019,SE_ADT_ACTS,PT,F,EMAIL,26.12795
2017,SE_ADT_ACTS,PT,F,EPRS,10.67309
2019,SE_ADT_ACTS,PT,F,EPRS,9.24555
2017,SE_ADT_ACTS,PT,F,PCPR,1.0229
2019,SE_ADT_ACTS,PT,F,PCPR,0.9875200000000001
2017,SE_ADT_ACTS,PT,F,SKILL_ICTSFWR,19.900679999999998
2017,SE_ADT_ACTS,PT,F,SKILL_ICTTRFF,56.43204
2019,SE_ADT_ACTS,PT,F,SKILL_ICTTRFF,46.93722
2017,SE_ADT_ACTS,PT,M,ARSP,9.01728
2019,SE_ADT_ACTS,PT,M,ARSP,8.9678
2017,SE_ADT_ACTS,PT,M,SKILL_ICTCMFL,61.514880000000005
2019,SE_ADT_ACTS,PT,M,SKILL_ICTCMFL,46.02169
2017,SE_ADT_ACTS,PT,M,COPA,30.68018
2019,SE_ADT_ACTS,PT,M,COPA,26.12354
2019,SE_ADT_ACTS,PT,M,EMAIL,34.66806
2017,SE_ADT_ACTS,PT,M,EPRS,14.453370000000001
2019,SE_ADT_ACTS,PT,M,EPRS,13.216339999999999
2017,SE_ADT_ACTS,PT,M,PCPR,3.27579
2019,SE_ADT_ACTS,PT,M,PCPR,3.4601699999999997
2017,SE_ADT_ACTS,PT,M,SKILL_ICTSFWR,24.96542
2017,SE_ADT_ACTS,PT,M,SKILL_ICTTRFF,63.43982
2019,SE_ADT_ACTS,PT,M,SKILL_ICTTRFF,51.43541
